season,player,position,mean,var
2018,Chase Winovich,DE,-0.06258587149018549,3.045014487078794e-4
2018,Juwann Bushell-Beatty,OT,-0.059095871568534415,3.6758094421497536e-4
2018,Maurice Ways,WR,-0.07144588102673814,1.3772119767384644e-4
2018,Bryan Mone,DT,-0.06256230159727476,2.5438971481465174e-4
2018,Lawrence Marshall,DT,-0.05971417060555919,3.594592696877733e-4
2018,Ian Bunting,TE,-0.0664566675118338,3.6271329005955637e-4
2018,Gary Moore,DT,-0.07593557361411732,2.565586093252356e-4
2018,Jared Weyler,C,-0.08285279820387079,9.668436176824746e-4
2018,Freedom Akinmoladun,DT,-0.06702743314281688,2.705904052222083e-4
2018,AJ Bush Jr.,QB,-0.03922551184492741,6.911242241972527e-4
2018,Cole Conrad,C,-0.10953406597906522,0.0017365970096302058
2018,Tanner Farmer,C,-0.0630478445006007,7.461945988629885e-4
2018,Jerald Foster,OG,-0.07142775566282969,2.827325841340121e-4
2018,Luke Gifford,OLB,-0.07252732725810605,1.953931417809544e-4
2018,Bryan Reimers,WR,-0.0765837609763842,1.294736216595769e-4
2018,Mick Stoltenberg,DE,-0.07165324151391657,2.561490434719107e-4
2018,J.B. Butler,OG,-0.07960057806030289,3.021470736392893e-4
2018,Tommy Doles,OG,-0.07198610299691846,2.6078662684241494e-4
2018,Nate Hall,SCB,-0.06935010168381896,3.557739372276003e-4
2018,Blake Hance,OT,-0.0711646921276144,2.24978290797155e-4
2018,Jared McGee,S,-0.04172386465259526,0.0012857722164301385
2018,James Prather,TE,-0.0725308979430799,2.2152612162821612e-4
2018,Clayton Thorson,QB,-0.03864331336321317,4.972437431687312e-4
2018,Solomon Vault,RB,-0.06933095408771588,3.437941285457905e-4
2018,Fred Wyatt,DT,-0.06708348495549728,2.058468592436239e-4
2018,Koa Farmer,ILB,-0.06700885986548236,2.1452981819877276e-4
2018,Trace McSorley,QB,-0.04394070567401451,6.442627160513192e-4
2018,Amani Oruwariye,CB,-0.0656090204430291,4.0707734247596923e-4
2018,Nick Scott,S,-0.05141881766450528,8.191014318800324e-4
2018,DeAndre Thompkins,WR,-0.06644152890892545,1.4482162149120624e-4
2018,Chasz Wright,OT,-0.06939723342505338,3.2829384966963924e-4
2018,Kirk Barron,C,-0.059678206957453274,0.0010958050697180437
2018,David Blough,QB,-0.03754246781615319,6.880395350955676e-4
2018,Tim Cason,CB,-0.07994024671781917,4.684538808680629e-4
2018,Cole Herdman,TE,-0.0776866137419259,3.8969094286552653e-4
2018,Keiwan Jones,DT,-0.06474300621867538,3.643114239138649e-4
2018,D.J. Knox,RB,-0.07995132609973007,4.065157409230549e-4
2018,Jonathan Alvarez,C,-0.047443881613078304,0.0017872163799517915
2018,Curtis Bolton,ILB,-0.07249056161920085,1.9440257031008427e-4
2018,Justice Hansen,QB,-0.03802131938616295,5.563801931698134e-4
2018,Carson Meier,TE,-0.06494574437661724,2.8332638119819815e-4
2018,Michiah Quick,SWR,-0.07744493141338704,7.365847588252655e-4
2018,Tito Windham,CB,-0.05738613159211595,4.4283405704879876e-4
2018,Grayson Muehlstein,QB,-0.05557143170471526,6.612534731021989e-4
2018,Ridwan Issahaku,SCB,-0.05533384073339595,7.816701822704683e-4
2018,Ty Summers,OLB,-0.06259576742580367,2.801327503576426e-4
2018,Trey Elliott,OG,-0.07585466070228221,2.680221201538476e-4
2018,L.J. Collier,OLB,-0.06460830673115958,2.2046596812168678e-4
2018,Yodny Cajuste,OT,-0.0639366233784187,3.507993320552375e-4
2018,Johnathan Lloyd,WR,-0.07231053050821482,1.904962332478314e-4
2018,Zach Harmon,OG,-0.06525636660055013,4.7205089978241173e-4
