season,param,sub_param,mean,var
2010,position,SWR,0.8785175304716892,0.4547442292933928
2010,position,OG,1.010480388893549,0.6030954989582589
2010,position,OLB,1.2991847324744685,0.5294055250890087
2010,position,QB,1.3123520033777063,0.44838241737903667
2010,position,C,1.3403471064163939,0.940766845640108
2010,position,SCB,1.4640991289886038,0.70288460619816
2010,position,WR,1.478721770923268,0.35388713696019
2011,intercept,home,0.017951758844603642,2.935631458115254e-5
2011,intercept,pass,0.07582237164446184,1.1304120844168397e-4
2011,variance,model,0.9902465981669337,5.791862999165726e-5
2011,variance,player,2.614528656103111e-4,3.3280608411143266e-9
2011,variance,play_type,0.28705317736967245,0.29200278287463033
2011,position,CB,0.5089364957132927,0.07853102823737464
2011,position,ILB,0.5875109135228626,0.1081211739207577
2011,position,OLB,0.620833595234127,0.19188397948964073
2011,position,RB,0.6382336173902634,0.11198426756624019
2011,position,OT,0.6831211378156152,0.1692218675725536
2011,position,SCB,0.8422450387690832,0.379264324369846
2011,position,S,0.8456199848207961,0.15465432163500575
2011,position,TE,0.84944709518103,0.28300273077242
2011,position,QB,0.9146438366724727,0.1970905551663447
2011,position,DT,0.9593061616363614,0.21903185427728306
2011,position,WR,1.0085002517912067,0.1826089118567233
2011,position,SWR,1.1409134369755598,0.37918079760861034
2011,position,DE,1.3702114251783208,0.16083740114562123
2011,position,OG,1.3811372289153365,0.22644336974158308
2011,position,C,2.1100092272702744,0.6198810945085915
2012,intercept,home,0.011712102472930513,3.0425041676889673e-5
2012,intercept,pass,0.09250171019796323,1.2162209318532131e-4
2012,variance,model,0.9902801729866887,5.5975998895011884e-5
2012,variance,player,2.626532367493151e-4,4.1584734420527e-9
2012,variance,play_type,0.30850621280126633,0.2818693506057195
2012,position,DT,0.644389814335672,0.15052390191959392
2012,position,OT,0.6755499123813944,0.26693359035881886
2012,position,ILB,0.7253282801254191,0.21176272305051827
2012,position,QB,0.7450201468148001,0.2531949530440709
2012,position,DE,0.7816978476262941,0.17195772964467507
2012,position,RB,0.8018308922113468,0.15174104958415705
2012,position,OLB,0.8902070770913966,0.315821495017437
2012,position,CB,0.9149697063269431,0.18454161589319912
2012,position,C,0.9554970348624909,0.29720139269818
2012,position,S,0.9562681807210316,0.1796709745893173
