season_end,param,sub_param,mean,var
2014,variance,player,2.471783362798289e-4,1.4430159297677059e-9
2014,variance,play_type,0.28757998706347676,0.3125734788655137
2014,position,C,0.6659008003452838,0.12275363401111868
2014,position,OG,0.6811796589850807,0.07075516918786923
2014,position,DT,0.7002012066316197,0.10735960472876009
2014,position,QB,0.7222763198781522,0.15080621012675396
2014,position,DE,0.7352480059251877,0.05380772786054878
2014,position,OLB,0.7438348399204759,0.17389996135908434
2014,position,ILB,0.8679446099903673,0.060692294112360004
2014,position,OT,0.9754153674404051,0.10179990378819333
2014,position,S,1.0908940028901966,0.08945162905148812
2014,position,SCB,1.1144667364358676,0.19915859564217753
2014,position,CB,1.2023506572847733,0.0976071393684031
2014,position,RB,1.3284609087126311,0.08547925736300037
2014,position,TE,1.4515322936687332,0.15255688662690225
